"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type","SPID"
"Li et al. 2011","ES43","CC14","China (Zhejiang, Zhenhai and Beilun)","Xiashi","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,4.05563126187611,0.408510442178898,0.441418677094356,299,100,-0.00734155502296194,0.00015190156641481,122.26,29.743,0.611246858887101,1.22271647114758,1.12060683105677,0.354645043945313,-1.75885052652849,16.4318161010742,2.88477473136339,3.10183296230458,"","Island rule","SP10"
"Li et al. 2011","ES44","CC14","China (Zhejiang, Zhenhai and Beilun)","Xiushan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,4.50796357991651,0.408510442178898,0.382242337602369,299,100,0.0983976117427817,0.000105336081582715,122.164,30.173,0.611246858887101,1.36172783601759,1.73640447090963,0.381020068359375,-1.92486069502781,16.4867877960205,2.89974945456458,3.08357067597008,"","Island rule","SP10"
"Li et al. 2011","ES45","CC14","China (Zhejiang, Zhenhai and Beilun)","Zhoushan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,3.94513212215529,0.408510442178898,0.361161994554517,299,97,-0.0349654606352175,0.000119837192231577,122.121,30.059,0.611246858887101,2.67089495352021,0.954290761701127,0.478612109375,-1.93870371041364,16.4111042022705,2.90208705528113,3.10209739847876,"","Island rule","SP10"
"Velo-Anton and Cordero-Rivera 2017","ES46","CC15","Spain (Galicia)","Ons ","Amphibians","Caudata","Salamandridae","Salamandra salamandra","Salamandra salamandra","Salamandra salamandra","Both","Weight",27.9595419839695,25.52,10.5632801274944,8.49716694876724,262,170,-0.0912960776378778,0.00119693466683384,-8.938,42.377,1.44653005278667,3.64914006414422,0.544192110765033,0.629724462890625,-1.95931358360986,13.9685983657837,2.57634078771776,3.20789449746847,"","Island rule","SP11"
"Velo-Anton and Cordero-Rivera 2017","ES47","CC15","Spain (Galicia)","San Martiño","Amphibians","Caudata","Salamandridae","Salamandra salamandra","Salamandra salamandra","Salamandra salamandra","Both","Weight",27.9595419839695,15.9091603053435,10.5632801274944,5.61038117951557,262,131,-0.563863472948674,0.00149413263105693,-8.904,42.1969,1.44653005278667,0.176091259055681,0.778223626766096,0.565661279296875,-1.77787888123048,14.2124996185303,2.52097877157485,3.18587066491676,"","Island rule","SP11"
"Wang et al. 2009","ES48","CC16","China (Zhejiang province)","Fodu","Amphibians","Anura","Ranidae","Pelophylax nigromaculatus","Rana nigromaculata","Rana nigromaculata","Female","SVL",45.0861722640005,61.9041686999823,1.41182023427095,1.90876959313634,24,24,0.317011925329951,8.0471133515234e-05,122.018,29.736,1.65404336604095,0.845098040014257,0.845160077651946,0.391640258789063,-2.03877913237768,16.556058883667,2.89704666497602,3.1004911573089,"","Island rule","SP12"
"Wang et al. 2009","ES49","CC16","China (Zhejiang province)","Liuheng","Amphibians","Anura","Ranidae","Pelophylax nigromaculatus","Rana nigromaculata","Rana nigromaculata","Female","SVL",45.0861722640005,40.2465488769394,1.41182023427095,1.46608384797852,24,21,-0.113551339810933,0.000104045403437131,122.147,29.708,1.65404336604095,1.96731391828708,0.845160077651946,0.35606962890625,-1.88555673896455,16.6010551452637,2.89329762064745,3.10157524625593,"","Island rule","SP12"
"Wang et al. 2009","ES50","CC16","China (Zhejiang province)","Mayi","Amphibians","Anura","Ranidae","Pelophylax nigromaculatus","Rana nigromaculata","Rana nigromaculata","Female","SVL",45.0861722640005,88.3327318332402,1.41182023427095,1.98389066441865,24,18,0.672535130048318,6.88797923763972e-05,122.258,29.871,1.65404336604095,0.845098040014257,0.845160077651946,0.361122216796875,-1.89658049072625,16.5482521057129,2.89062538683623,3.1012313867907,"","Island rule","SP12"
"Wang et al. 2009","ES51","CC16","China (Zhejiang province)","Meishan","Amphibians","Anura","Ranidae","Pelophylax nigromaculatus","Rana nigromaculata","Rana nigromaculata","Female","SVL",45.0861722640005,72.7026109590496,1.41182023427095,1.99409916071485,24,10,0.477801700237722,0.000116086888844335,121.99,29.792,1.65404336604095,1.33965015761368,-0.300162274132754,0.375350048828125,-1.95206788237081,16.4115219116211,2.902648417179,3.10568046294581,"","Island rule","SP12"
"Wang et al. 2009","ES52","CC16","China (Zhejiang province)","Taohua","Amphibians","Anura","Ranidae","Pelophylax nigromaculatus","Rana nigromaculata","Rana nigromaculata","Female","SVL",45.0861722640005,75.1428535551135,1.41182023427095,2.10350495720031,24,19,0.510815418125165,8.21002157740157e-05,122.232,29.818,1.65404336604095,1.61278385671974,0.944532020991981,0.361122216796875,-1.89658049072625,16.5482521057129,2.89062538683623,3.1012313867907,"","Island rule","SP12"
"Wang et al. 2009","ES53","CC16","China (Zhejiang province)","Xiashi","Amphibians","Anura","Ranidae","Pelophylax nigromaculatus","Rana nigromaculata","Rana nigromaculata","Female","SVL",45.0861722640005,80.1331986962102,1.41182023427095,1.99870333930501,24,19,0.575114636016171,7.35994425373822e-05,122.26,29.743,1.65404336604095,1.22271647114758,1.12060683105677,0.354645043945313,-1.75885052652849,16.4318161010742,2.88477473136339,3.10183296230458,"","Island rule","SP12"
"Wang et al. 2009","ES54","CC16","China (Zhejiang province)","Xiushan","Amphibians","Anura","Ranidae","Pelophylax nigromaculatus","Rana nigromaculata","Rana nigromaculata","Female","SVL",45.0861722640005,90.0065876719917,1.41182023427095,2.4228289544231,24,10,0.691307266195412,0.000113316233143445,122.164,30.173,1.65404336604095,1.36172783601759,1.73640447090963,0.381020068359375,-1.92486069502781,16.4867877960205,2.89974945456458,3.08357067597008,"","Island rule","SP12"
"Wang et al. 2009","ES55","CC16","China (Zhejiang province)","Zhoushan","Amphibians","Anura","Ranidae","Pelophylax nigromaculatus","Rana nigromaculata","Rana nigromaculata","Female","SVL",45.0861722640005,41.3240877901212,1.41182023427095,1.2517206938102,24,33,-0.0871300283923958,6.86596427171173e-05,122.121,30.059,1.65404336604095,2.67089495352021,0.954290761701127,0.478612109375,-1.93870371041364,16.4111042022705,2.90208705528113,3.10209739847876,"","Island rule","SP12"
