"","Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Archipielago","Phylogeny","Data_source_type","imputed","SPID"
"867","Endo et al. 2004a","ES868","CC377","Malay peninsula S. of the isthmus of kra","Tioman","Mammals","Rodentia","Sciuridae","Ratufa bicolor","Ratufa bicolor","Ratufa bicolor","Omn","Both","CBL",697.678103913612,596.302723443871,24.7991488221719,17.0881861149663,18,11,-0.157009363856574,0.000144848685936507,104.17,2.79,2.84365509319741,2.13353890837022,1.57750328895726,0.699082177734375,-1.63314100401514,25.155424118042,1.8300759680748,3.42916261130074,"No","Conspecific","No island rule","No","SP173"
"868","Allen 1938","ES869","CC378","Fukien","Hainan","Mammals","Chiroptera","Rhinolophidae","Rhinolophus affinis","Rhinolophus affinis macrurus","Rhinolophus affinis hainanus","Inver","Male","Skull",28.7841481272665,30.669616428529,0.575436522920952,0.196888822790456,5,3,0.0634476482802066,9.36689100240795e-05,109.842,19.229,1.45915338094759,4.51719589794997,1.23047446736116,0.67702998046875,-1.48228771957217,23.9309253692627,2.59292952692165,3.20272176405885,"No","Conspecific","No island rule","No","SP174"
"869","Iliopoulou-Georgudaki 1986","ES870","CC379","Attica","Lesbos","Mammals","Chiroptera","Rhinolophidae","Rhinolophus blasii","Rhinolophus blasii","Rhinolophus blasii","Inver","Male","Length",11.7399867950321,8.19063802973074,0.466005171821318,0.0519744910113133,17,12,-0.360008891276318,9.60379640799175e-05,26.32,39.23,1.0696676084237,3.21218760440396,1.11397675828985,0.510914892578125,-1.87108947136158,15.6678247451782,2.82851396426158,2.78240293867504,"No","Conspecific","No island rule","No","SP175"
"870","Allen 1938","ES871","CC380","Fukien","Hainan","Mammals","Chiroptera","Rhinolophidae","Rhinolophus pusillus","Rhinolophus blythi calidus","Rhinolophus blythi parcus","Inver","Unsexed","Skull",8.75774573969183,8.94925461079829,0.300296767882201,0.180093359040832,5,8,0.0216317089286133,0.000285772012861823,109.842,19.229,0.942392332332273,4.51719589794997,1.23047446736116,0.67702998046875,-1.48228771957217,23.9309253692627,2.59292952692165,3.20272176405885,"No","Conspecific","No island rule","No","SP176"
"871","Nor 1996","ES872","CC381","Banggi","Balambangan","Mammals","Chiroptera","Pteropodidae","Rousettus amplexicaudatus","Rousettus amplexicaudatus","Rousettus amplexicaudatus","Herb","Both","Weight",68.25,62.4125,4.11130555095742,6.6,4,8,-0.0894118582383415,0.00230501273212026,116.924,7.265,1.83410265571279,2.05307844348342,1.32223997493115,0.589341357421875,-2.03393578992158,27.5152778625488,1.75238628358729,3.3430933258479,"No","Conspecific","No island rule","No","SP177"
"872","Nor 1996","ES873","CC381","Banggi","Molleangen","Mammals","Chiroptera","Pteropodidae","Rousettus amplexicaudatus","Rousettus amplexicaudatus","Rousettus amplexicaudatus","Herb","Both","Weight",68.25,65.3333333333333,4.11130555095742,2.828,4,3,-0.0436750635026621,0.00153173256495234,117.049,7.085,1.83410265571279,0.176091259055681,1.04143216468027,0.673335400390625,-1.90998432114713,27.446870803833,1.75169943257068,3.35853442643702,"No","Conspecific","No island rule","No","SP177"
"873","Allen and Chapman 1898","ES874","CC382","Costa Rica","Trinidad","Mammals","Rodentia","Sciuridae","Sciurus aestuans","Sciurus astuans hoffmanni","Sciurus astuans hoffmanni","Herb","Unsexed","Skull",384.862462994079,320.044199720836,19.133081419917,14.9744400520779,3,6,-0.184426921103196,0.00118869291378661,-61.246,10.431,2.58530555487346,3.68376726142531,1.17612021105609,0.7579107421875,-1.79885568486389,26.3593311309814,1.75886231550375,3.28634516348873,"No","Conspecific","No island rule","Yes","SP178"
"874","Kloss 1919","ES875","CC383","SE Siam","Koh Lan","Mammals","Rodentia","Sciuridae","Callosciurus finlaysonii","Sciurus finlaysonii","Sciurus finlaysonii","Omn","Both","Length",379.383964138493,201.541078825682,15.8713855910963,6.19687554157697,9,8,-0.632555564486816,0.000312635291585605,100.780211,12.918215,2.57907897011262,0.7481880270062,0.857392810920901,0.558203515625,-1.5019999863431,27.9364986419678,2.11373751566303,3.06818586174616,"No","Conspecific","No island rule","No","SP179"
"875","Lyon 1911","ES876","CC384","Borneo","Karamian (Arends)","Mammals","Rodentia","Sciuridae","Callosciurus notatus","Sciurus notatus dulitensis","Sciurus notatus arendsi","Omn","Both","Length",273.458684255882,213.428718100382,10.858738746592,5.68864596115229,18,5,-0.24784764354654,0.000229682733893981,114.6008,-5.066,2.4368917198647,1.00603795499732,1.97313247372919,0.234623950195313,-1.32050062847169,27.2943325042725,1.60513304395359,3.2818239228357,"No","Conspecific","No island rule","No","SP19"
"876","Lyon 1911","ES877","CC384","Borneo","Datu","Mammals","Rodentia","Sciuridae","Callosciurus notatus","Sciurus notatus dulitensis","Sciurus notatus datus","Omn","Both","Length",273.458684255882,259.456979606406,10.858738746592,5.71619732186224,18,6,-0.0525596404020216,0.00016849674907942,114.6164,-4.06271,2.4368917198647,-1.52287874528034,-0.0963674839157623,0.63402216796875,-1.53187988877868,27.2970237731934,1.52445273849388,3.37099210138013,"No","Conspecific","No island rule","No","SP19"
