IOC3_1_Binomial,SpeciesID,IOC3_1_Order,IOC3_1_Family,IOC3_1_Genus,IOC3_1_Species,Taxonomic_Comments,Extinct_full,Extinct_partial,Marine_full,Marine_partial,Migr_dir_full,Migr_dir_partial,Migr_dir_local,Migr_disp_full,Migr_disp_partial,Migr_disp_local,Migr_altitudinal,Irruptive,Nomad_full,Nomad_partial,Nomad_local,Resid_full,Resid_partial,Unknown,Uncertain,Migratory_status_Comments,Triplechecked,Migratory_status,Migratory_status_2,Migratory_status_3
Ortalis_motmot,96,GALLIFORMES,Cracidae,Ortalis,motmot,in HBW Ortalis_motmot includes race ruficeps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"no information, presumably sedentary",0,resident,full resident,full resident
Ortalis_ruficeps,97,GALLIFORMES,Cracidae,Ortalis,ruficeps,in HBW ruficeps is race of Ortalis_motmot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"no information, presumably sedentary (text on motmot in HBW)",0,resident,full resident,full resident
Ortalis_superciliaris,98,GALLIFORMES,Cracidae,Ortalis,superciliaris,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"no information, presumably sedentary",0,resident,full resident,full resident
Penelope_argyrotis,99,GALLIFORMES,Cracidae,Penelope,argyrotis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"no information available, presumably largely sedentary",0,resident,full resident,full resident
Penelope_barbata,100,GALLIFORMES,Cracidae,Penelope,barbata,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Penelope_ortoni,101,GALLIFORMES,Cracidae,Penelope,ortoni,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"no information available, presumably largely sedentary",0,resident,full resident,full resident
Penelope_montagnii,102,GALLIFORMES,Cracidae,Penelope,montagnii,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"non-migratory, but performs seasonal movements in search of fruit, sometimes leaving forest",1,resident,full resident,full resident
Penelope_marail,103,GALLIFORMES,Cracidae,Penelope,marail,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,few data but presumably sedentary,0,resident,full resident,full resident
Penelope_superciliaris,104,GALLIFORMES,Cracidae,Penelope,superciliaris,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,resident,full resident,full resident
Penelope_dabbenei,105,GALLIFORMES,Cracidae,Penelope,dabbenei,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,few data but presumably sedentary,0,resident,full resident,full resident
Penelope_purpurascens,106,GALLIFORMES,Cracidae,Penelope,purpurascens,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,sedentary but some seasonal altitudinal movements may occur,0,resident,full resident,full resident
Penelope_perspicax,107,GALLIFORMES,Cracidae,Penelope,perspicax,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"no information, presumably sedentary",0,resident,full resident,full resident
Penelope_albipennis,108,GALLIFORMES,Cracidae,Penelope,albipennis,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,some local movements with seasonality,0,resident,full resident,full resident
