Class,Order,Family,Species,Measure,Allometry,BM_units,a,b,N,R2,Type,log,Note,Source,Note,") When the purpose of the study is not to estimate the parameters of a functional relationship, but simply to forecast or predict values of y for given x’s, use OLS in all cases. OLS is the only method that minimizes the squared residuals in y. The OLS regression line itself is meaningless. Do not use the standard error and confidence bands, however, unless x is known to be free of error (Sokal and Rohlf, 1995, p. 545, Table 14.3); this warning applies in particular to the 95% confidence intervals computed for OLS by this program"
Reptiles,Squamata,Colubridae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*2.6279-5.525, Feldman et al 2015",g,-5.525,2.628,,,,log10,,"Feldman, A. & Meiri, S. Length–mass allometry in snakes. Biological Journal of the Linnean Society 108, 161-172 (2013).",,
Reptiles,Squamata,Dactyloidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*2.942-4.574, Feldman et al 2015",g,-4.574,2.942,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Dibamidae,All,SVL,"LOG10(Weigth)= LOG10(SVL)*2.300-4.207, Feldman and Meiri 2016",g,-4.207,2.3,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Diplodactylidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*3.057-4.804, Feldman et al 2015",g,-4.804,3.057,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Dipsadidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*2.561-5.219, Feldman et al 2015",g,-5.219,2.561,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Elapidae,All,SVL,"LOG10(Weight,g)= LOG10(SVL,mm)*2.453-4.892, Feldman and Meiri 2013",g,-4.892,2.453,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Gekkonidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*2.761-4.242, Feldman et al 2015",g,-4.242,2.761,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Gymnophthalmidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*3.302-5.178, Feldman et al 2015",g,-5.178,3.302,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Iguanidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*2.972-4.298, Feldman et al 2015",g,-4.298,2.972,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Lacertidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015",g,-4.543,2.951,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Lamprophiidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*3.232-7.092, Feldman et al 2015",g,-7.092,3.232,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Liolaemidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*3.097-4.678, Liolaeumus, Pincheira-Donoso et al. 2011",g,-4.678,3.097,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Leiocephalidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*3.243-5.033, Feldman et al 2015",g,-5.033,3.243,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Natricidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*2.982-6.223, Feldman et al 2015",g,-6.223,2.982,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Phrynosomatidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*2.677-3.855, Feldman et al 2015",g,-3.855,2.677,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Phyllodactylidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*2.945-4.482, Feldman et al 2015",g,-4.482,2.945,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Scincidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*3.229-5.125, Feldman et al 2015",g,-5.125,3.229,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Sphaerodactylidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*2.970-4.559, Feldman et al 2015",g,-4.559,2.97,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Teiidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*3.110-4.747, Feldman et al 2015",g,-4.747,3.11,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Varanidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*3.235-5.301, Feldman et al 2015",g,-5.301,3.235,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Viperidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*2.655-5.165, Feldman et al 2015",g,-5.165,2.655,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Xantusiidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*3.048-4.796, Feldman et al 2015",g,-4.796,3.048,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Boidae,All,TL,"LOG10(Weight, g)= LOG10(SVL, mm)*2.856-5.886, Feldman and Meiri 2016",g,-5.886,2.856,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Colubridae,All,TL,"LOG10(Weight, g)= LOG10(TL, mm)*2.539-5.548, Feldman et al 2015",g,-5.548,2.539,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Dipsadidae,All,TL,"LOG10(Weight, g)= LOG10(TL, mm)*2.278-4.715, Feldman et al 2015",g,-4.715,2.278,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Lamprophiidae,All,TL,"LOG10(Weight, g)= LOG10(TL, mm)*2.821-6.286, Feldman et al 2015",g,-6.286,2.821,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Viperidae,All,TL,"LOG10(Weight,g)= LOG10(TL,mm)*2.910-6.103Feldman and Meiri 2013",g,-6.013,2.91,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
